x,y
n a,0
k,0
c l,0
i o n c a,0
p h,0
а с т,0
л у ж н а ф о с ф а т а з а л ф,0
т и р е о т р о п н и й г о р м о н т т г,0
б і л і р у б і н з а г а л ь н и й,0
з а л і з о,0
а м і л а з а,0
c o NUMBER,0
ф е р и т и н,0
л е й к о ц и т и,0
г л ю к о з а,0
i o n m g,0
т р и г л і ц е р и д и,0
а л ь б у м і н,0
к а л ь ц и т о н і н,0
м а р к е р к і с т к о в о ї р е з о р б ц і ї b o n e t r a p NUMBER b,0
о с т е о к а л ь ц и н,0
а н д р о с т е н д і о н,0
а н т и м ю л л е р і в г о р м о н а м г m i s,0
д и г і д р о т е с т о с т е р о н,0
е с т р а д і о л e NUMBER,0
е с т р о н e NUMBER,0
і н г і б і н b,0
л ю т е ї н і з у ю ч и й г о р м о н л г,0
п р о г е с т е р о н,0
п р о л а к т и н,0
NUMBER DASH α DASH о к с и п р о г е с т е р о н NUMBER DASH o h p,0
а д р е н о к о р т и к о т р о п н и й г о р м о н а к т г a c t h,0
а н г і о т е н з и н п е р е т в о р ю ю ч и й ф е р м е н т а п ф,0
д е г і д р о е п і а н д р о с т е р о н DASH с у л ь ф а т д г е а DASH с d h e a DASH s,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у DASH NUMBER і ф р DASH NUMBER і g f DASH NUMBER,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у з в я з у ю ч о г о б і л к а NUMBER i g f DASH b p NUMBER,0
к о р т и з о л с и р о в а т к а,0
к о р т и з о л с л и н а,0
к о р т и з о л в і л ь н и й д о б о в а с е ч а,0
м е л а т о н і н с и р о в а т к а,0
м е т а н е ф р и н н о р м е т а н е ф р и н NUMBER DASH м е т о к с и т и р а м і н п л а з м а,0
с е р о т о н і н,0
с о м а т о т р о п н и й г о р м о н г о р м о н р о с т у с т г,0
а д и п о н е к т и н,0
г л і к о в а н и й г е м о г л о б і н h b a NUMBER c,0
г л ю к о з а д о б о в а с е ч а,0
г л ю к о з а с и р о в а т к а,0
г л ю т а м і н о к и с л а д е к а р б о к с и л а з а g a d a а н т и т і л а i g g,0
з є д н у ю ч и й п е п т и д с DASH п е п т и д,0
і н с у л і н,0
і н с у л і н а н т и т і л а i g g к і л ь к і с н е в и з н а ч е н н я,0
л е п т и н,0
о с т р і в ц е в и й а п а р а т п і д ш л у н к о в о ї з а л о з и а н т и т і л а i g g i c a м е т о д i f t,0
п р о і н с у л і н,0
т и р о з и н ф о с ф а т а з а а н т и т і л а i g g,0
т р а н с п о р т е р ц и н к у NUMBER z n t NUMBER с у м а р н і а н т и т і л а,0
ф р у к т о з а м і н,0
α DASH ф е т о п р о т е ї н а ф п,0
β DASH х г л в і л ь н и й,0
β DASH х г л з а г а л ь н и й х о р і о н і ч н и й г о н а д о т р о п і н з а г а л ь н и й,0
β NUMBER DASH м і к р о г л о б у л і н,0
а н т и г е н п л о с к о к л і т и н н о ї к а р ц и н о м и s c c,0
н е й р о н DASH с п е ц и ф і ч н а е н о л а з а n s e,0
о н к о м а р к е р c y f r a с а NUMBER DASH NUMBER ф р а г м е н т ц и т о к е р а т и н у NUMBER,0
о н к о м а р к е р h e NUMBER,0
о н к о м а р к е р б і л о к s DASH NUMBER,0
о н к о м а р к е р м о л о ч н о ї з а л о з и с а NUMBER DASH NUMBER,0
о н к о м а р к е р п і д ш л у н к о в о ї з а л о з и с а NUMBER,0
о н к о м а р к е р п і д ш л у н к о в о ї з а л о з и ж о в ч н о г о м і х у р а с а NUMBER DASH NUMBER,0
о н к о м а р к е р ш к т с а NUMBER,0
о н к о м а р к е р ш л у н к а с а NUMBER DASH NUMBER,0
о н к о м а р к е р я є ч н и к і в с а NUMBER,0
п р о с т а т DASH с п е ц и ф і ч н и й а н т и г е н з а г а л ь н и й п с а,0
п р о с т а т и ч н а к и с л а ф о с ф а т а з а р а р,0
р а к о в о DASH е м б р і о н а л ь н и й а н т и г е н р е а с е а,0
р і в е н ь е р и т р о п о е т и н у,0
к і л ь к і с т ь т р о м б о ц и т і в,0
г е м а т о к р и т,0
і н д е к с к о л ь о р у,0
г е м о г л о б і н,0
с п і в в і д н о ш е н н я в е л и к и х і м а л и х л і м ф о ц и т і в,0
с п і в в і д н о ш е н н я в е л и к и х м о н о ц и т і в д о в с і х л і м ф о ц и т і в,0
к і л ь к і с т ь е о з и н о ф і л і в,0
к і л ь к і с т ь б а з о ф і л і в,0
с п і в в і д н о ш е н н я м о н о ц и т і в д о л і м ф о ц и т і в,0
а н т и г е н п л о с к о к л і т и н н о ї к а р ц и н о м и s c c,0
н е й р о н DASH с п е ц и ф і ч н а е н о л а з а n s e,0
о н к о м а р к е р c y f r a с а NUMBER DASH NUMBER ф р а г м е н т ц и т о к е р а т и н у NUMBER,0
с у п е р к р е а т и н і н,0
г е м о г л о б і н,0
т р и г л і ц е р и д и,0
к а л ь ц і й,0
к р е а т и н і н,0
х о л е с т е р и н,0
т и р о к с и н т NUMBER,0
т р и й о д т и р о н і н т NUMBER,0
а н т и т і л а д о т и р е о п е р о к с и д а з и а т DASH т п о,0
а н т и т і л а д о т и р е о г л о б у л і н у а т DASH т г,0
н а т р і й,0
н і т р а т и,0
н і т р и т и,0
н е й р о ф і з і н,0
н е й р о ф і л а м е н т и з в я з а н і з л а н ц ю г о м л е г к и х н е й р о н а л ь н и х п о л і п е п т и д і в n f l,0
н а т р і й і о н і з о в а н и й,0
н у к л е о т и д,0
н і т р и т DASH а н і о н,0
н і т р а т DASH а н і о н,0
н е й т р о ф і л ь н а к і л ь к і с т ь,0
ц и т о м е г а л о в і р у с ц м в а н т и т і л а i g g,0
ц е р у л о п л а з м і н,0
ц и с т а т и н с,0
ц и т о м е г а л о в і р у с ц м в а н т и т і л а i g m,0
ц е ф а л е к с и н,0
ц и с т и н,0
ц и т о м е г а л о в і р у с ц м в д н к,0
ц е ф а л о с п о р и н,0
ц и т і д и л і н о з и н т р и ф о с ф а т c t p,0
ц и н к,0
ш и с т о з о м а s c h i s t o s o m a i g g а н т и т і л а,0
ш и с т о з о м а s c h i s t o s o m a i g m а н т и т і л а,0
ш и с т о з о м а s c h i s t o s o m a i g e а н т и т і л а,0
ш и с т о з о м а s c h i s t o s o m a д н к,0
ш и з о ф р е н і я д н к,0
ш и з о ф р е н і я i g g а н т и т і л а,0
ш и з о ф р е н і я i g m а н т и т і л а,0
ш и з о ф р е н і я i g e а н т и т і л а,0
ш и з о ф р е н і я i g a а н т и т і л а,0
ш и з о ф р е н і я i g d а н т и т і л а,0
м е т а б о л і ч н и й с и н д р о м,0
м о л е к у л я р н а м а с а д н к,0
м і є л о п е р о к с и д а з а m p o,0
м і о г л о б і н,0
м і ц е л і й н и й а с п е р г і л ю с,0
м і ц е л і й н и й к а н д і д а,0
м о н о а м і н о к с и д а з а m a o,0
м о р с ь к и й к о л а г е н,0
м у с к у с,0
м ю е л о м н и й і м у н о г л о б у л і н m i g,0
б і л і р у б і н п р я м и й,0
б е т а DASH т р о м б о г л о б у л і н,0
б е т а DASH м і к р о г л о б у л і н,0
б е т а DASH NUMBER г л і к о п р о т е ї н i,0
б е т а DASH NUMBER DASH м і к р о г л о б у л і н β NUMBER DASH m g,0
б е т а DASH г а л а к т о з и д а з а,0
б е т а DASH г л ю к о з і д а з а,0
б е т а DASH к а р о т и н,0
б е т а DASH к е т о а з и д,0
б е т а DASH х е л і к і з и н,0
в і т а м і н a р е т и н о л,0
в і т а м і н b NUMBER т і а м і н,0
в і т а м і н b NUMBER к о б а л а м і н,0
в і т а м і н b NUMBER р і б о ф л а в і н,0
в і т а м і н b NUMBER н і а ц и н,0
в і т а м і н b NUMBER п а н т о т е н о в а к и с л о т а,0
в і т а м і н b NUMBER п і р и д о к с и н,0
в і т а м і н c а с к о р б і н о в а к и с л о т а,0
в і т а м і н d к а л ь ц и ф е р о л,0
в і т а м і н е т о к о ф е р о л,0
к а л ь ц і й c a,0
к р е а т и н і н,0
к а л і й k,0
к а л ь ц і т о н і н,0
к а л ь ц і й і о н і з о в а н и й c a NUMBER,0
к о р т и з о л a m к р о в н а п о р о ж н и н у р о т а,0
к а л ь ц і й c a к р о в н а п о р о ж н и н у р о т а,0
к р е а т и н і н с е ч а,0
к о а г у л о г р а м а,0
к о б а л ь т c o к р о в,0
з а л і з о f e с и р о в а т к а,0
з а л і з о с и р о в а т к а,0
з а л і з о с е ч а,0
з а л і з о f e к р о в,0
з а л і з о з а с в о є н е,0
х л о р и д и c l с и р о в а т к а,0
ц и н к z n с и р о в а т к а,0
ц и н к z n п л а з м а,0
ц е р у л о п л а з м і н c p с и р о в а т к а,0
ц е р у л о п л а з м і н c p с е ч а,0
ц е а ц е т и л т р а н с ф е р а з а с е а т,0
ц и с т а т и н c,0
ц и с т а т и н c с е ч а,0
ц у к о р c NUMBER h NUMBER o NUMBER к р о в,0
ц у к о р с е ч а,0
ф е р р и т и н f e r с и р о в а т к а,0
ф і б р и н о г е н f g к р о в,0
ф о л і є в а к и с л о т а f o l i c a c i d,0
ф о с ф а т и р о NUMBER с и р о в а т к а,0
ф о с ф о л і п а з а a NUMBER с и р о в а т к а,0
ф о с ф о р p с и р о в а т к а,0
ф о с ф о р p с е ч а,0
ф о с ф о р p у р і н,0
ф р у к т о з а м і н f r u c t o s a m i n e,0
ф у р у л і н f u r с е ч а,0
р е т и н о л в і т а м і н a,0
р е н і н r e n i n п л а з м а,0
р е з и с т и н с и р о в а т к а,0
р і в е н ь г о м о ц и с т е ї н у h o m o c y s t e i n e,0
р у б і д і й r b с е ч а,0
і н т е р л е й к і н DASH NUMBER i l DASH NUMBER с и р о в а т к а,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у DASH NUMBER і ф р DASH NUMBER і g f DASH NUMBER,0
і н т е р л е й к і н DASH NUMBER β i l DASH NUMBER β с и р о в а т к а,0
і н с у л і н о п о д і б н и й ф а к т о р р о с т у DASH NUMBER і ф р DASH NUMBER і g f DASH NUMBER с е ч а,0
і н г і б і н b с и р о в а т к а,0
і н т е р л е й к і н DASH NUMBER i l DASH NUMBER с и р о в а т к а,0
і н г і б і т о р а к т и в а т о р а п л а з м і н о г е н у DASH NUMBER p a i DASH NUMBER с и р о в а т к а,0
і н т е р ф е р о н DASH г а м м а i f n DASH γ с и р о в а т к а,0
і н с у л і н п л а з м а,0
і н д е к с р е з и с т и н а д и п о н е к т и н,0
к а л ь ц і й c a,0
к а р б о к с и г е м о г л о б і н,0
к о л і н е с т е р а з а ч е р в о н і к р о в я н і т і л ь ц я,0
к о р т і з о н,0
к р е а т и н і н,0
к р е а т и н і н д о б о в а с е ч а,0
к р е а т и н і н с и р о в а т к а,0
к і с т к о в и й м о р ф о г е н е т и ч н и й б і л о к b m p,0
к і с т к о в и й м о р ф о г е н е т и ч н и й б і л о к b m p а м п у т о в а н а ф о р м а,0
к а л ь п о н і н,0
о к с и д а т и в н е ф о с ф о р и л ю в а н н я,0
о к с и г е м о г л о б і н o NUMBER h b,0
о к с и г е м о г л о б і н д о б о в а с е ч а,0
о к с и г е м о г л о б і н с и р о в а т к а,0
о к с и г л ю к о з а o NUMBER DASH g l c,0
о к с и д у в а л ь н а т о л е р а н т н і с т ь,0
о к с и д а л і з о в а н и й л і п і д н и й п р о ф і л ь,0
о к с и д а ц і я д о б о в а с е ч а,0
о к с и д а т и в н и й с т р е с с и р о в а т к а,0
о к с и д а т и в н и й с т р е с с е ч а,0
л і п о п р о т е ї н л п,0
л і п о п р о т е ї н а л п a,0
л і п о п р о т е ї н з н и ж е н о ї щ і л ь н о с т і l d l,0
л і п о п р о т е ї н и в и с о к о ї щ і л ь н о с т і h d l,0
л і п о п р о т е ї н и д у ж е в и с о к о ї щ і л ь н о с т і v h d l,0
л а к т а т д е г і д р о г е н а з а l d h,0
л а к т а т д о б о в а с е ч а,0
л а к т а т с и р о в а т к а,0
л і п а з а,0
л і п о п р о т е ї н DASH е л е к т р о ф о р е з,0
т е с т о с т е р о н с у м а р н и й,0
т р о м б і н о п л а с т и н,0
т р і й о д т и р о н і н т NUMBER,0
т и р о к с и н в і л ь н и й т NUMBER в і л ь н и й,0
т р а н с ф е р и н,0
т р а н с ф е р і н DASH н а с и ч е н и й к а п с у л t i b c,0
т р а н с ф е р і н о в и й к о е ф і ц і є н т н а с и ч е н н я,0
т р и й о д т и р о н і н з в я з у ю ч и й з б і л к а м и т NUMBER,0
т р а н с ф о р м у ю ч и й ф а к т о р з р і л о с т і б е т а DASH к л і т и н c DASH p e p t i d,0
т і р е о г л о б у л і н,0
й о д і о д у р и д,0
й о д й о д у р и д,0
й о д й о д а т и,0
й о д й о д и д и,0
й о д й о д у р е т и,0
й о д й о д о п р о т е ї н и,0
й о д й о д о ф о р м,0
й о д й о д с у л ь ф а т и,0
й о д й о д у р а л ь н и й а ц и д,0
й о д й о д и д п і д в и щ е н а к о н ц е н т р а ц і я,0
в і р у с е п ш т е й н а DASH б а р р к а п с и д н и й а н т и г е н v c a,0
т у м о р DASH m NUMBER DASH п і р у в а т к і н а з а,0
м о ч о в и н а,0
к а л ь ц і й,0
е р и т р о ц и т и,0
с р б,0
с у м а б і л к і в,0
а м і л а з а,0
к р е а т и н і н к і н а з а DASH м в,0
м о ч е в а к и с л о т а,0
с п і в в і д н о ш е н н я в е л и к и х і м а л и х л і м ф о ц и т і в,0
з а л і з о в і л ь н е,0
ф е р и т и н,0
к і л ь к і с т ь е о з и н о ф і л і в,0
г е м а т о к р и т,0
т р и г л і ц е р и д и,0
п р о г е с т е р о н,0
п р о с т а т DASH с п е ц и ф і ч н и й а н т и г е н з а г а л ь н и й п с а,0
г л і к о в а н и й г е м о г л о б і н h b a NUMBER c,0
а м і л а з а,0
м е л а т о н і н,0
н е й р о н DASH с п е ц и ф і ч н а е н о л а з а n s e,0
п р о л а к т и н з р о з в е д е н н я м NUMBER NUMBER,0
з а г а л ь н и й i g e,0
к о н ц е н т р а ц і я i g g в с и р о в а т ц і к р о в і,0
к о н ц е н т р а ц і я i g m в с и р о в а т ц і к р о в і,0
к о н ц е н т р а ц і я i g a в с и р о в а т ц і к р о в і,0
NUMBER DASH г і д р о к с и в і т а м і н d NUMBER DASH o h d,0
β DASH c r o s s l a p s к р о в,0
п а р а т г о р м о н п т г NUMBER DASH NUMBER в и с о к о с п е ц и ф і ч н и й б і о і н т а к т н и й,0
в і р у с г е п а т и т у a h a v а н т и т і л а с у м а р н і,0
в і р у с г е п а т и т у b h b v h b c o r a g а н т и т і л а i g m,0
в і р у с г е п а т и т у b h b v h b c o r a g а н т и т і л а с у м а р н і,0
в і р у с г е п а т и т у b h b v h b e a g,0
п л р в і р у с г е п а т и т у b к р о в к і л ь к і с н е в и з н а ч е н н я r e a l DASH t i m e,0
ц и т о м е г а л о в і р у с б у к а л ь н и й з і ш к р і б я к і с н е в и з н а ч е н н я,0
в і р у с v a r i c e l l a z o s t e r NUMBER т и п г е р п е с у v z v а н т и т і л а i g a,0
г е м о г л о б і н г л и к о з и л ь о в а н и й h b a NUMBER c,0
к р е а т и н ф о с ф о к і н а з а к ф к,0
л а к т а т д е г і д р о г е н а з а л д г,0
а м і л а з а,0
і м у н о г л о б у л і н е i g e,0
с е л е н s e,0
м а н г а н м а р г а н е ц ь m n,0
к а д м і й c d,0
а р с е н м и ш ʼ я к a s,0
с т р о н ц і й s r,0
а л ю м і н і й a l,0
т а л і й t l,0
с т и б і й а н т и м о н с у р м а s b,0
т р и п т а з а,0
с е р о м у к о ї д и,0
NUMBER DASH NUMBER м м о л ь л,1
NUMBER NUMBER DASH NUMBER NUMBER м м о л ь л,1
